City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,luis correia,-2.8792,-41.6669,25.03,77,2,7.39,BR,1726630185
350,susuman,62.7833,148.1667,7.8,45,84,4.4,RU,1726630187
351,noyemberyan,41.1724,44.9992,13.05,82,79,0.53,AM,1726630188
352,puerto deseado,-47.7503,-65.8938,5.6,67,100,5.18,AR,1726630189
353,westport,41.1415,-73.3579,18.44,89,95,0.89,US,1726630190
354,pariaman,-0.619,100.12,25.32,86,98,0.44,ID,1726630191
355,qamdo,31.1667,97.2333,14.91,51,6,2.1,CN,1726630192
356,itamaraju,-17.0392,-39.5311,20.54,93,78,0.62,BR,1726630193
357,palikir - national government center,6.9248,158.1611,33.41,52,40,6.69,FM,1726630195
358,pujehun,7.3581,-11.7208,22.98,97,47,0.14,SL,1726630196
359,kurchatov,51.6601,35.6521,14.99,42,100,3.86,RU,1726630197
360,sorsk,54.0033,90.2467,5.2,54,19,1.6,RU,1726630198
361,tulun,54.5611,100.5792,5.91,62,69,4.23,RU,1726630199
362,auki,-8.7676,160.7034,29.62,67,71,0.89,SB,1726630200
